Date,VOX,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VNQ,VPU
2015-11-30,-0.0102,-0.0046,-0.0091,-0.0026,0.0212,0.0067,0.0123,0.0119,-0.0063,-0.0213
2015-12-31,-0.0038,-0.0268,0.0222,-0.1109,-0.025,0.0117,-0.0282,-0.0275,0.0183,0.0216
2016-01-31,0.0123,-0.0581,0.0,-0.0377,-0.0851,-0.0931,-0.0644,-0.0588,-0.0344,0.047
2016-02-29,0.0397,0.0099,0.004,-0.0222,-0.0254,-0.0052,0.0387,-0.0097,-0.0036,0.0178
2016-03-31,0.0557,0.0683,0.0491,0.1057,0.0762,0.0319,0.0767,0.0892,0.1047,0.0816
2016-04-30,-0.002,-0.001,-0.0107,0.1027,0.0284,0.0305,0.0107,-0.0467,-0.0235,-0.0196
2016-05-31,-0.0016,-0.0016,0.0084,-0.017,0.0254,0.0238,0.0008,0.0534,0.0225,0.0163
2016-06-30,0.0717,-0.0109,0.0518,0.0283,-0.0254,0.0065,0.0031,-0.0232,0.0693,0.0767
2016-07-31,0.0269,0.0483,-0.0035,-0.0192,0.0391,0.0542,0.0384,0.0757,0.0427,-0.0089
2016-08-31,-0.0595,-0.0113,-0.0052,0.019,0.0324,-0.0318,0.0115,0.0233,-0.0376,-0.0543
2016-09-30,0.0018,-0.0016,-0.0161,0.0344,-0.0226,0.0016,-0.0012,0.0245,-0.0184,0.0051
2016-10-31,-0.0361,-0.0244,-0.0078,-0.037,0.0186,-0.0718,-0.022,-0.0054,-0.0574,0.009
2016-11-30,0.0325,0.0526,-0.0375,0.0976,0.1384,0.0268,0.0975,0.0053,-0.0168,-0.0454
2016-12-31,0.0745,0.0019,0.0324,0.0193,0.0414,0.005,0.0068,0.0131,0.0481,0.0479
2017-01-31,0.0038,0.0377,0.0131,-0.0346,0.0016,0.0266,0.014,0.0431,-0.0019,0.0117
2017-02-28,-0.0278,0.0176,0.0446,-0.0265,0.0485,0.0642,0.0337,0.0494,0.035,0.0495
2017-03-31,-0.0211,0.0222,-0.0023,-0.0108,-0.0273,-0.0016,-0.0058,0.0225,-0.0242,-0.0006
2017-04-30,0.0219,0.0246,0.0108,-0.035,-0.0068,0.0168,0.0186,0.0234,0.0024,0.0067
2017-05-31,-0.0306,0.0073,0.022,-0.0405,-0.0162,0.0049,0.0067,0.0441,-0.0073,0.0401
2017-06-30,-0.0149,-0.0036,-0.0223,-0.005,0.0633,0.0501,0.0163,-0.0254,0.0223,-0.0238
2017-07-31,0.0211,0.0153,0.0062,0.0258,0.0158,0.006,0.0019,0.0414,0.0124,0.0265
2017-08-31,-0.0024,-0.0168,-0.0122,-0.0557,-0.0201,0.0189,0.0002,0.0311,-0.0026,0.029
2017-09-30,-0.0048,0.0153,-0.006,0.1045,0.0548,0.0115,0.0479,0.0079,-0.0011,-0.0245
